暧	abbe
浄	ensd
汤	ensh
澛	enwa
渔	enwm
溆	eode
难	eog
浍	eomi
潋	eomk
沦	eop
沧	eosu
沟	epi
鸡	epym
沣	eqj
滟	eqju
涛	eqki
渍	eqmo
潜	eqoa
涢	erbo
渑	erlu
涡	erob
汇	es
涩	esim
滠	esje
沤	esk	es'k
浔	esmi
浕	esoy
潆	etbf
滢	etbi
涝	etbs
滞	etjb
潇	etll
满	etmb
颒	etmbo
汹	euk	eu'k
潍	evmg
涠	ewqs	ew'qs
浈	eybo
滦	eycd
湾	eycn
滚	eycv
濒	eyho
济	eykl
浏	eykn
涟	eykq
滤	eypp
泸	eys
浐	eyth
觉	fbbhu
喾	fbhgr
尝	fbmmi
学	fbnd
鲎	fbnwm
鹡	fbpym
鸴	fbpym
赏	fbrbo
党	fbrhu
黉	fbtlc
举	fcq
挙	fcq
誉	fcymr
粮	fdiav
糁	fdikh
类	fdk
粝	fdmms
糇	fdonk
粪	fdtc
娄	fdv
颣	ffmbo
尘	fg
炉	fhs
烁	fhvd
炉	fis
烧	fjpu
鳖	fknwm
炼	fkvc
炼	fkvd
烛	flmi
焖	flsp
烦	fmbo
兴	fmc
灯	fmn
焕	fnbk
烃	fnom
炀	fnsh
烩	fomi
烨	fopj
炝	fosu
鲞	fqnwm
炜	fqs
誊	fqymr
炽	frc
当	fsm	fs'm
烬	fsoy
烂	ftmm
灿	fu
辉	fubkq
数	fvok
烟	fwk	fw'k
埘	gadi
声	gah
壳	gbhn
悫	gbhp
壸	gbmc
坝	gbo
埩	gbsd
壶	gbtc
丧	gcv
啬	gcwr	gcw'r
赪	gcybo
块	gdk
墙	ggcw
圹	gi
垅	gikp
却	gisl
坏	gmf
坜	gmks
坛	gmmi
垭	gmtc
埩	gnsd
场	gnsh
趱	gohuo
赵	gok
赶	gomj
趋	gonsm	gons'm
坞	gpvm
毂	gqhne
埙	grbo
颉	grmbo
埚	grob
垲	gusu
盐	gybt
坟	gyk
垆	gys
垴	gyuk	gyu'k
皑	hausu
笕	hbhu
奥	hbk
农	hbv
箪	hcwj
税	hdcru
释	hdeq
穑	hdgcw
秾	hdhbv
秃	hdhn
种	hdl
籁	hdlo
秆	hdmj
称	hdnf
稳	hdnsp
穞	hdnwa
积	hdrc
秽	hduni	hdun'i
条	hed
务	heks
处	heo
备	hew
惫	hewp
处	hey
篓	hfdv
鹙	hfpym
筜	hfsm
丢	hgi
贸	hhbo
须	hhmbo
笔	hhqu
躯	hhsk	hhs'k
笺	hij
笼	hikp
魉	himob
鹅	hipym
鸱	hipym
质	hjbo
鹎	hjpym
乔	hkll
蚕	hklmi
岙	hku
币	hlb
篮	hlit
筛	hllb
箫	hlll
颀	hlmbo
篑	hlmo
简	hlsa
毁	hmhne
惩	hmp
飓	hnbmc
凤	hne	hn'e
飚	hnfff
飗	hnhhw
飕	hnhxe
风	hnk	hn'k
颓	hnmbo
箓	hnme
飏	hnnsh
飑	hnpru
躗	hnryo
筝	hnsd
笃	hnvm
飔	hnwp
飐	hnyr
徕	hodt
签	homm
鸻	homnm
酂	honl
径	honom
衔	hoopn
篯	hopj
彻	hopsh
媭	hov
筚	hppj
箨	hqeq
牦	hqhqu
犊	hqjnk
筹	hqki
牺	hqmcw
箦	hqmo
筼	hrbo
敌	hrok
鹄	hrpym
鸹	hrpym
乱	hru
辞	hrytj
笋	hsk
箧	hskt	hs'kt
启	hsr
衅	htfq
赞	hubo
氇	hunwa
毡	huyr
鼹	hvajv
乐	hvd
簖	hvdl
箓	hvne
囱	hwhe
箩	hwln
粤	hwmvs
囱	hwni	hw'ni
鹠	hwpym
舆	hxkc
舰	hybhu
盘	hybt
舣	hyik
笾	hyks
舱	hyosu
鸼	hypym
篱	hyub
舻	hyys
贠	ibo
术	id
书	ids
视	ifbhu
禅	ifcwj
应	ifm
祢	ifnf
禄	ifnme
祃	ifnvm
鹧	ifpym
祷	ifqki
祎	ifqs
祦	ifrmk
祸	ifrob
祦	ifrvk
礼	ifu
祯	ifybo
毵	ihhqu
庐	ihs
垒	iiig
庞	iikp
庐	iis
废	iive
戋	ij
盏	ijbt
刬	ijln
义	ik
庆	ik
参	ikhhh
飙	ikhnk	ikhn'k
龙	ikp
库	ikq
为	iksi	iks'i
赓	iloo
庙	ilw
决	imdk
减	imihr
冻	imkd
庑	imku
冲	iml
净	imnsd
冯	imnvm
凑	imqkk
况	imrhu
凉	imyrf
凛	imywf
邝	inl
讠	inv
资	iobo
盗	iobt
楽	iod
鹰	iogm
鹒	iopym
垄	ipg
贰	ipmmo
庼	ipmo
砻	ipmr
鸢	ippym
聋	ipsj
龚	iptc
袭	ipyhv
詟	ipymr
户	is
启	isr
谒	ivapv
谩	ivawe
调	ivbgr	ivb'gr
诨	ivbkq
诅	ivbm
谖	ivbme
谣	ivbou
诇	ivbr	ivb'r
讼	ivci
说	ivcru
诐	ivdhe
讨	ivdi
诀	ivdk
谏	ivdwf	ivdw'f
译	iveq
诮	ivfb
谠	ivfbu
谈	ivff
诗	ivgdi
诖	ivgg
诘	ivgr
诱	ivhds
诿	ivhdv
诰	ivhgr
诜	ivhgu
谢	ivhhi
诛	ivhjd
话	ivhjr
诟	ivhmr
诉	ivhmy
讥	ivhn
设	ivhne
讽	ivhnk	ivhn'k
讬	ivhp
诋	ivhvi
谀	ivhxo
诚	ivihs
议	ivik
诶	iviok
谘	ivior
试	ivipm
诒	ivir
谝	ivisb
诫	ivit
计	ivj
谳	ivjbk
谊	ivjbm
诧	ivjhp
诸	ivjka
谉	ivjll
读	ivjnk
诂	ivjr
发	ivke
诙	ivkf
诳	ivkhg
训	ivlll
诽	ivlmy
谰	ivlsw
讧	ivm
评	ivmfj
讦	ivmj
语	ivmmr
订	ivmn
诃	ivmnr
诬	ivmoo
诼	ivmso
谮	ivmua
讶	ivmvh
谭	ivmwj
证	ivmym
谵	ivncr
谲	ivnhb
谄	ivnhx
诵	ivnib
讯	ivnj
诞	ivnkv
诡	ivnmu
谞	ivnob
诤	ivnsd
诌	ivnsm	ivns'm
谗	ivnuy
认	ivo
讷	ivob
谁	ivog
谯	ivogf
诊	ivohh
谶	ivoim
谂	ivoip
许	ivoj
诠	ivomg
谕	ivomn
讫	ivon
论	ivop
讹	ivop
诈	ivos
诲	ivowy
询	ivpa
诣	ivpa
谧	ivpht
谐	ivppa
谍	ivptd
诔	ivqd
诪	ivqki
请	ivqmb
讳	ivqs
识	ivrc
误	ivrmk
谔	ivrrs
讱	ivshi
诏	ivshr
诹	ivsje
讴	ivsk	ivs'k
诓	ivsmg	ivs'mg
谬	ivsmh
诩	ivsmm
词	ivsmr
讵	ivss
记	ivsu
谟	ivtak
谫	ivtbh
谱	ivtca
谥	ivtct
诺	ivtkr
谨	ivtlm
谋	ivtmd
谌	ivtmv
详	ivtq
讲	ivtt
谦	ivtxc
谎	ivtyu
讪	ivu
讻	ivuk
诎	ivuu
谓	ivwb
谡	ivwce
课	ivwd
讣	ivy
谛	ivybb
谤	ivybs
谪	ivycb
谜	ivyfd
谚	ivyhh
访	ivyhs
谴	ivylr
让	ivym
谇	ivyoj
谑	ivypm
谆	ivyrd
谅	ivyrf
谙	ivyta
该	ivyvo
廪	iywf
赍	jbbo
献	jbik
窭	jcfdv
窦	jcjnk
穷	jcks
窜	jcll
颠	jcmbo
窍	jcmms
窑	jcoju
窃	jcpsh
窎	jcpym
窥	jcqou
窝	jcrob
鹁	jdpym
灾	jf
宪	jhgu
宠	jikp
载	jikq
韩	jjqs
觌	jkbhu
协	jksc
寝	jlme
审	jlwl
宝	jmgi
卖	jnyk
宾	jomc
尧	jpmu
鹕	jrbpm
额	jrmbo
鸪	jrpym
宫	jrr
贲	jtbo
宽	jtbu
骞	jtcm
赛	jtco
鹓	jupym
翘	jusmm
实	jyk
橥	kad
牵	kbhq
瘿	kbov
痈	kbq	kb'q
瘅	kcwj
东	kd
杀	kd
夺	kdi
弑	kdipm
刹	kdln
癞	kdlo
鸫	kdpym
瘫	keog
瘘	kfdv
鹩	kfpym
狈	khbo
獭	khdlo
犷	khi
犹	khiku
狱	khivk
猪	khjka
狞	khjmn
狭	khkt
狮	khllb
独	khlmi
狲	khndf
狝	khnf
疯	khnk	khn'k
猕	khnnf
狰	khnsd
犸	khnvm
狯	khomi
猃	khomm
猎	khta
猫	khtw
瘪	khup
猬	khwb
猡	khwln
瘆	kikh
态	kip
癫	kjco
瘗	kktg
暂	kla
錾	klc
椠	kld
堑	klg
痫	klsd
疬	kmks
疴	kmnr
疠	kms
痖	kmtc
痪	knbk
杂	knd
瘾	knlp
癣	knmq
疗	knn
痉	knom
鸠	knpym
疡	knsh
疮	kosu
疱	kpru
车	kq
辒	kqabt
辊	kqapp
辋	kqbtv	kqb'tv
轰	kqee
辍	kqeee
辚	kqfdq
辕	kqgrv
辀	kqhby
辂	kqher
轷	kqhfd
轿	kqhkl
斩	kqhml
轶	kqhqo
轹	kqhvd
辅	kqijb
轼	kqipm
辘	kqixp
辖	kqjqr
轱	kqjr
轪	kqk
轨	kqkn
轴	kqlw
轾	kqmig
轩	kqmj
轲	kqmnr
辆	kqmob
辐	kqmrw
轭	kqmsu
软	kqno
轻	kqnom
轸	kqohh
辁	kqomg
输	kqomn
轮	kqop
辏	kqqkk
转	kqqni
轵	kqrc
辑	kqrsj
轫	kqshi
轺	kqshr
辄	kqsju
辗	kqstv
轧	kqu
辎	kqvvw
辙	kqybk
较	kqyck
辌	kqyrf
轳	kqys
贺	krbo
驾	krnvm
办	ksc
奁	ksk	ks'k
疖	ksl
疟	ksm
夹	kt
痨	ktbs
頬	ktmbc
颊	ktmbo
郏	ktnl
尴	kulit
鹌	kupym
奋	kw
痹	kwml
旧	la
裈	lbkq
帐	lbpo
帱	lbqki
帻	lbqmo
帏	lbqs
帜	lbrc
帼	lbwmi	lbw'mi
帧	lbybo
衬	ldi
袜	ldj
鹇	ldpym
隶	le
肾	leb
贤	lebo
坚	leg
紧	levif
竖	leyt
褛	lfdv
裆	lfsm	lfs'm
装	lgyhv
袄	lhk
览	libhu
蚬	libhu
监	libt
蛊	libt
鉴	lic
蜕	licru
蝉	licwj
蛏	lieg
蝼	lifdv
虮	lihn
蚝	lihqu
蚁	liik
蛲	lijpu
奨	lik
裤	likq
蛱	likt
蛳	lillb
螀	lilmi
丬	lim
醤	limcw
蛎	limms
虾	limy
蚂	linvm
蝇	lirlu
蜗	lirob
门	lis
蜡	lita
蝾	litbd
蟏	litll
螨	litmb
虬	liu
袯	live
蝈	liwmi	liw'mi
蛴	liykl
鸯	lkpym
肃	llfl
褴	llit
牍	lljnk
帅	lllb
顺	lllo
师	llmb
畅	llnsh
临	lloa
鹔	llpym
裥	llsa
归	llsm	lls'm
襕	llsw
贵	lmbo
壮	lmg
虫	lmi
状	lmik
将	lmnii
妆	lmv
费	lnbo
桨	lnd
浆	lne
牍	lnjnk
奖	lnk
酱	lnmcw
裣	lomm
袆	lqs
间	lsa
阊	lsaa
阘	lsasm
阌	lsbbe
阒	lsbuk
阅	lscru
阐	lscwj
闲	lsd
闭	lsdh
阑	lsdwf	lsdw'f
阔	lsehr
闺	lsgg
阖	lsgit
阁	lsher
阍	lshpa
阋	lshxu
阆	lsiav
阈	lsirm
阗	lsjbc
阇	lsjka
闳	lski
阉	lsklu
闽	lslmi
阓	lslmo
闩	lsm
闰	lsmg
闬	lsmj
闫	lsmmm
阎	lsnhx
阚	lsnjk
阕	lsnok
闯	lsnvm
阄	lsnwu
闪	lso
阀	lsoi
闷	lsp
闱	lsqs
问	lsr
闾	lsrr
闻	lssj
阙	lstuo
闿	lsusu
阃	lswd	lsw'd
闸	lswl
阛	lswlv
闶	lsyhn
闵	lsyk
闼	lsyk
闹	lsylb
訚	lsymr
阏	lsysy
阂	lsyvo
儿	lu	c
鸩	lupym
邮	lwnl
电	lwu
补	ly
辈	lykq
裢	lykq
戬	mai
厩	maiu
亘	mam
雾	mbhes
丽	mbib
霭	mbivv
颥	mbmbo
雳	mbmks
郦	mbnl
页	mbo
贡	mbo
厕	mbon
鹂	mbpym
鹝	mbpym
鸸	mbpym
霁	mbykl
晋	mca
垩	mcg
恶	mcp
厢	mdbu
灭	mf
飘	mfhnk	mfhn'k
愿	mfp
瑷	mgbbe
现	mgbhu
珲	mgbkq
瑶	mgbou
璎	mgbov
琤	mgbsd
琐	mgfbo
珐	mggi
玑	mghn
瓒	mghuo
压	mgi
珑	mgikp
顼	mgmbo
环	mgmf
珏	mgmgi
琤	mgnsd
玛	mgnvm
玱	mgosu
玮	mgqs
琏	mgykq
琼	mgyrf
玙	mgysm
巩	mhni	mhn'i
鸦	mhpym
叆	mibbe
厌	mik
魇	miki
厣	mikl
厐	mikp
动	miks
餍	mikv
靥	mikw
叇	miyle
顸	mjmbo
蚕	mklmi
厍	mkq
历	mks
无	mku
丽	mmbib
项	mmbo
厅	mmn
鹉	mmpym
厉	mms
厨	mmti
厦	mmue
鼋	mmuu
亏	mmvs
殚	mncwj
歼	mnhj
殁	mnhne
残	mnij
殡	mnjoc
顶	mnmbo
殓	mnomm
殇	mnonh
殒	mnrbo
觋	mobhu
赝	mogo
豮	mojto
两	moob
鹀	mopym
碍	mrami
砚	mrbhu
碀	mrbsd
硚	mrhkl
矶	mrhn
矾	mrhni	mrhn'i
砜	mrhnk	mrhn'k
砾	mrhvd
矿	mri
碱	mrihr
碜	mrikh
硗	mrjpu
砗	mrkq
硖	mrkt
硕	mrmbo
砺	mrmms
碀	mrnsd
砀	mrnsh
码	mrnvm
硷	mromm
碛	mrqmo
砖	mrqni
礴	mrtei
硙	mrusu
础	mruu
励	msks
劢	msks
虿	mslmi
趸	msryo
开	mt
亚	mtc
严	mtch
顾	mumbo
顽	mumbo
鹴	mupym
画	muw	mu'w
顾	mvmbo
贾	mwbo
酿	mwiav
酦	mwive
酾	mwmbb
酝	mwmmi
酽	mwmth
觯	nbcwj
堕	nbg
奂	nbk
触	nblmi
负	nbo
觞	nbonh
鹬	nbpym
弹	ncwj
孙	ndf
剥	neln
卺	nemsu
尔	nf
玺	nfmgi
颋	ngmbo
骘	nhnvm
骛	nknvm
鹜	nkpym
阳	nla
陧	nlag
阴	nlb
陇	nlikp
陈	nlkd
阵	nlkq
陕	nlkt
际	nlmmf
陉	nlnom
隐	nlnsp
队	nlo
阶	nloll
险	nlomm
陦	nlqki
陆	nlqu
陨	nlrbo
随	nlykb
驲	nma
鲳	nmaa
鳁	nmabt
鲥	nmadi
鲫	nmail
鳀	nmamo
鲲	nmapp
鳎	nmasm
鲃	nmau
鳗	nmawe
鲷	nmbgr	nmb'gr
驵	nmbm
鲖	nmbmr	nmb'mr
鲗	nmbon
鳐	nmbou
鲏	nmdhe
驭	nme
骚	nmeii
鳋	nmeii
驿	nmeq
鲿	nmfbi
鳞	nmfdq
彛	nmfht
鲮	nmgce
鲑	nmgg
鲒	nmgr
鲌	nmha
鳈	nmhae
鳇	nmhag
稣	nmhd
鳅	nmhdf
鲦	nmhed
骆	nmher
骝	nmhhw
鳤	nmhjr
骄	nmhkl
鲘	nmhmr
鲧	nmhvf
骢	nmhwp
鲵	nmhxu
骏	nmice
骖	nmikh
鲹	nmikh
鱿	nmiku
鳙	nmilb
骀	nmir
鲐	nmir
鳡	nmirp
驴	nmis
骗	nmisb
鳊	nmisb
骟	nmism
鲓	nmjks
骔	nmjmf
鲩	nmjmu
驼	nmjp
鳍	nmjpa
骁	nmjpu
鲼	nmjto
驮	nmk
鲔	nmkb
驳	nmkk
骑	nmkmr
劲	nmks
鲣	nmleg
驶	nmlk
驯	nmlll
骕	nmlll
鳉	nmlmi
鲱	nmlmy
刭	nmln
骥	nmlpc
鲉	nmlw
骋	nmlws
骊	nmmbb
鲡	nmmbb
鲕	nmmbl	nmmb'l
颈	nmmbo
鳕	nmmbs
骦	nmmbu
录	nmme
鲆	nmmfj
鲠	nmmlk
鲄	nmmnr
鲾	nmmrw
鳜	nmmto
骠	nmmwf
鳔	nmmwf
鲺	nmnhi
鲬	nmnib
骉	nmnmm
骙	nmnok
驺	nmnsm	nmns'm
鳆	nmoae
驸	nmodi
鲋	nmodi
骓	nmog
鲶	nmoip
鲙	nmomi
验	nmomm
骅	nmopj
鲊	nmos
驰	nmpd
驹	nmpr
鲍	nmpru
鲽	nmptd
鲀	nmpu
鲭	nmqmb
鳄	nmrrs
骤	nmseo
鳚	nmsfi
鱽	nmsh
鲰	nmsje
驱	nmsk	nms'k
鲪	nmskr
鳛	nmsma
骎	nmsme
鲟	nmsmi
骣	nmsnd
鱾	nmsu
鳓	nmtjs
骐	nmtmc
鲯	nmtmc
鳠	nmtoe
鲜	nmtq
骈	nmtt
鳝	nmttr
鳟	nmtwi
鳢	nmtwt
鳒	nmtxc
鲻	nmvvw
驷	nmwc	nmw'c
骒	nmwd
鲤	nmwg
鲴	nmwjr	nmw'jr
骃	nmwk	nmw'k
鳏	nmwle
鳏	nmwlf
鳂	nmwmv
鳃	nmwp
骡	nmwvf
鳑	nmybs
鲛	nmyck
驻	nmyg
鲂	nmyhs
鲚	nmykl
鲢	nmykq
鲇	nmyr
鲸	nmyrf
骧	nmyrv
鲈	nmys
骍	nmytj
骇	nmyvo
鳣	nmywm
弥	nnf
预	nnmbo
弪	nnom
飞	no
坠	nog
张	npo
强	nrli
争	nsd
皱	nsdhe
刍	nsm	ns'm
邹	nsnl
雏	nsog
鸳	nupym
饣	nv
馄	nvapp
馒	nvawe
馉	nvbbb
馁	nvbv
馇	nvdam
馌	nvgit
饷	nvhbr	nvhb'r
饭	nvhe
饹	nvher
饪	nvhg
馏	nvhhw
饫	nvhk
饥	nvhn
饦	nvhp
饿	nvhqi
馊	nvhxe
馎	nvibi
馂	nvice
饯	nvij
饴	nvir
饽	nvjbd
馕	nvjbv
饶	nvjpu
馆	nvjrr
蚀	nvlmi
馈	nvlmo
饤	nvmn
饾	nvmrt
馅	nvnhx
饮	nvno
饧	nvnsh
馋	nvnuy
饬	nvoks
饰	nvolb
馀	nvomd
饩	nvomn
饸	nvomr
饱	nvpru
饨	nvpu
馔	nvruc
饵	nvsj
马	nvsm
饲	nvsmr
馍	nvtak
馓	nvtbk
馑	nvtlm
馐	nvtqg
饼	nvtt
饳	nvuu
馃	nvwd
饺	nvyck
饻	nvyhv
鱼	nwm
鲁	nwma
龟	nwu
鹐	nxpym
买	nyk
复	oahe
内	ob
伣	obhu
侧	obon
叙	ode
体	odm
鸺	odpm
仅	oe
傩	oeog
偿	ofbi
傥	ofbu
籴	ofd
偻	ofdv
伞	ofj
鹪	ofpym
赁	ogbo
凭	oghn
雠	ogivg
隽	ognhs
鹤	ogpym
侬	ohbv
侨	ohkl
仪	oik
伪	oiks
优	oiku
刽	oiln
领	oimbo
邻	oinl
郐	oinl
贪	oino
鸰	oipym
储	oiva
傤	ojiq
伫	ojm
傧	ojoc
侥	ojpu
偾	ojto
矫	okhkl
鳘	oknwm
伡	okq
侠	okt
个	ol
们	olis
俪	ombb
佥	omfm
剑	omln
会	ommi
畲	ommw
气	omn
俩	omob
敛	omok
钅	omp
俨	omth
亿	on
氲	onabt
觎	onbhu
氩	onmtc
氢	onnom
从	oo
伤	ooks
价	ooll
丛	oom
侩	oomi
俭	oomm
众	ooo
伦	oop
怂	oop
耸	oosj
伧	oosu
仑	op
锠	opaa
镅	opahu
钽	opam
锝	opami
锡	opaph
锟	opapp
钯	opau
银	opav
镘	opawe
钥	opb
锊	opbdi
钢	opbk	opb'k
锾	opbme
铜	opbmr	opb'mr
锄	opbms
货	opbo
贷	opbo
钡	opbo
铡	opbon
钼	opbu
锑	opcnh
锐	opcru
铍	opdhe
钵	opdm
铼	opdt
钗	opei	opei
钗	opei	ope'i
铴	openh
铎	opeq
钬	opf
销	opfb
镗	opfbg
锁	opfbo
镋	opfbu
镂	opfdv
锬	opff
钞	opfh
锩	opfqu
铛	opfsm	opfs'm
钍	opg
铂	opha
锦	ophab
锽	ophag
锹	ophdf
锈	ophds
钣	ophe
锋	ophej
铬	opher
铥	ophgi
锆	ophgr
铣	ophgu
钐	ophhh
铆	ophhl
镏	ophhw
钎	ophj
铢	ophjd
锻	ophje
锺	ophjg
锤	ophjm
锧	ophjo
铦	ophjr
锸	ophjx
锨	ophlo
钒	ophni	ophn'i
铅	ophnr
锇	ophqi
铁	ophqo
镍	ophud
铄	ophvd
锼	ophxe
锒	opiav
镈	opibi
铖	opihs
钱	opij
铺	opijb
钹	opike
镛	opilb
镳	opipf
铽	opipp
镰	opitc
镀	opite
钺	opiv
华	opj
针	opj
镇	opjbc
镲	opjbf
镩	opjcl
镕	opjcr
锗	opjka
铑	opjkp
铐	opjks
锭	opjmo
镓	opjmo
镔	opjoc
铊	opjp
铙	opjpu
钴	opjr
铵	opjv
铕	opkb
镣	opkcf
铩	opkd
钛	opki
锛	opkjt
钸	opklb
锜	opkmr
偬	opkp
铗	opkt
钟	opl
铿	opleg
钔	oplis
钏	oplll
锵	oplmi
铫	oplmo
钊	opln
镄	oplno
锏	oplsa
锎	oplst
镧	oplsw
铀	oplw
镭	opmbw
钚	opmf
钰	opmgi
铘	opmhl
铚	opmig
铻	opmmr
钉	opmn
钶	opmnr
倾	opmo
镉	opmrb
钘	opmt
铔	opmtc
铏	opmtn
镢	opmto
镖	opmwf
镡	opmwj
钲	opmym
钙	opmys
钇	opn
铯	opnau
锰	opndt
钮	opng
钑	opnhe
铭	opnir
铤	opnkg
键	opnkq
锕	opnlr
钌	opnn
钦	opno
镫	opnot
镵	opnri
镪	opnri
铮	opnsd
钖	opnsh
镥	opnwa
伥	opo
钠	opob
锥	opog
镌	opogs
铃	opoii
钤	opoin
铨	opomg
铪	opomr
锉	opoog
铧	opopj
镎	oporq
铋	opph
锪	opphp
钓	oppi
钩	oppi
钧	oppim
锴	opppa
铇	oppru
钝	oppu
钨	oppvm
锲	opqhk
铸	opqki
锖	opqmb
铞	oprlb
锃	oprmg
锅	oprob
铝	oprr
锷	oprrs
铒	opsj
镊	opsje
锯	opsjr
锓	opsme
镠	opsmh
铌	opsp
钷	opsr	ops'r
钜	opss
锔	opssr	opss'r
错	opta
镆	optak
铹	optbs
镨	optca
镤	optco
镒	optct
镁	optgk
锘	optkr
锳	optlk
钳	optm	opt'm
镬	optoe
镃	optvi
锚	optw
铓	optyv
钆	opu
镚	opubb
铠	opusu
钕	opv
铷	opvr
镴	opvvv
锱	opvvw
钿	opw
锞	opwd
锂	opwg
锢	opwjr	opw'jr
铟	opwk	opw'k
钾	opwl
镯	opwli
锣	opwln
镮	opwlv
锶	opwp
镙	opwvf
钋	opy
镑	opybs
镝	opycb
铰	opyck
镦	opydk
钪	opyhn
钫	opyhs
铱	opyhv
锍	opyiu
铳	opyiu
钭	opyj
链	opykq
铈	opylb
钻	opyr
镐	opyrb
镶	opyrv
锿	opyrv
镞	opysk
镟	opyso
铲	opyth
锌	opytj
镱	opytp
锫	opytr
镜	opytu
铉	opyvi
俦	oqki
债	oqmo
传	oqni
伟	oqs
龛	orikp
颔	ormbo
颌	ormbo
俣	ormk
鸽	orpym
侣	orr
伛	osk
侭	osoy
仓	osu
戗	oui
创	ouln
鸧	oupym
侦	oybo
侪	oykl
愠	pabt
恽	pbkq
惧	pbmc
恻	pbon
悦	pcru
惮	pcwj
懒	pdlo
颖	pdmbo
颍	pembo
怿	peq
颕	pfmbo
颎	pfmbo
忏	phj
惨	pikh
忧	piku
匀	pim
鸨	pjpym
愤	pjto
惭	pkql
悭	pleg
愦	plmo
悯	plsk
顷	pmbo
怀	pmf
恹	pmik
恸	pmis
鸵	pmjp
怃	pmku
邬	pmnl
鹱	pmtoe
忆	pn
长	po
怜	poii
勚	poks
忾	pomn
怆	posu
毕	ppj
毙	ppmnp
怅	ppo
够	prnin
鸲	prpym
慑	psje
怄	psk	ps'k
惬	pskt	ps'kt
贳	ptbo
顿	pumbo
